Disease Name,Overview Link,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,symptom 20,symptom 21
Pink eye (conjunctivitis),https://www.mayoclinic.org/diseases-conditions/pink-eye/symptoms-causes/syc-20376355,Redness in one or both eyes,Itchiness in one or both eyes,A gritty feeling in one or both eyes,A discharge in one or both eyes that forms a crust during the night that may prevent your eye or eyes from opening in the morning,Tearing,Sensitivity to light called photophobia,,,,,,,,,,,,,,,
Pituitary tumors,https://www.mayoclinic.org/diseases-conditions/pituitary-tumors/symptoms-causes/syc-20350548,Headache,Eye problems due to pressure on the optic nerve especially loss of side vision also called peripheral vision and double vision,Pain in the face sometimes including sinus pain or ear pain,Drooping eyelid,Seizures,Nausea and vomiting,,,,,,,,,,,,,,,
Plantar fasciitis,https://www.mayoclinic.org/diseases-conditions/plantar-fasciitis/symptoms-causes/syc-20354846,stabbing pain in the bottom of your foot near the heel ,,,,,,,,,,,,,,,,,,,,
Plantar warts,https://www.mayoclinic.org/diseases-conditions/plantar-warts/symptoms-causes/syc-20352691,A small rough growth on the bottom of your foot usually at the base of the toes or on the ball or heel,On brown and Black skin the growth may be lighter than unaffected skin,Hard thickened skin (callus) over a spot on the skin where a wart has grown inward,Black pinpoints which are small clotted blood vessels commonly called wart seeds,A cluster of growths on the sole of the foot (mosaic warts),A growth that interrupts the normal lines and ridges in the skin of your foot,Pain or tenderness when walking or standing,,,,,,,,,,,,,,
Pleurisy,https://www.mayoclinic.org/diseases-conditions/pleurisy/symptoms-causes/syc-20351863,fluid builds up in the small space between the two layers of tissue,A large amount of fluid in the pleural space can create pressure ,The extra fluid in the pleural space can also become infected resulting in a buildup of pus ,,,,,,,,,,,,,,,,,,
Pneumonia,https://www.mayoclinic.org/diseases-conditions/pneumonia/symptoms-causes/syc-20354204,Chest pain when you breathe or cough,,,,,,,,,,,,,,,,,,,,
Pneumothorax,https://www.mayoclinic.org/diseases-conditions/pneumothorax/symptoms-causes/syc-20350367,sudden chest pain ,shortness of breath,,,,,,,,,,,,,,,,,,,
Polio,https://www.mayoclinic.org/diseases-conditions/polio/symptoms-causes/syc-20376512,Fever,Headache,Muscle aches,Sore throat,Stomachache,Loss of appetite,Nausea,Vomiting,Neck pain or stiffness,Aches or stiffness in the arms or legs,Severe headache,Stiffness of the spine and neck,Decreased reflexes,Muscle weakness,Intense pain,"Extreme sensitivity to touch
",Tingling or pricking sensations,Muscles spasms or twitching,Muscles weakness progressing to a limp paralysis,Paralysis of muscles involved in breathing,Difficulty swallowing
Polycystic kidney disease (PKD),https://www.mayoclinic.org/diseases-conditions/polycystic-kidney-disease/symptoms-causes/syc-20352820,High blood pressure,Back or side pain,Blood in your urine,A feeling of fullness in your abdomen,Increased size of your abdomen due to enlarged kidneys,Headaches,Kidney stones,"Kidney failure
",Urinary tract or kidney infections,,,,,,,,,,,,
Polymyalgia rheumatica,https://www.mayoclinic.org/diseases-conditions/polymyalgia-rheumatica/symptoms-causes/syc-20376540,Aches or pain in your shoulders,Aches or pain in your neck upper arms buttocks hips or thighs,Stiffness in affected areas particularly in the morning or after being inactive for a time,Limited range of motion in affected areas,Pain or stiffness in your wrists elbows or knees,Mild fever,Fatigue,A general feeling of not being well (malaise),Loss of appetite,Unintended weight loss,Depression,,,,,,,,,,
Polymyositis,https://www.mayoclinic.org/diseases-conditions/polymyositis/symptoms-causes/syc-20376524,The muscle weakness associated with polymyositis involves the muscles closest to the trunk such as those in your hips thighs shoulders upper arms and neck,"The weakness affects both the left and right sides of your body and tends to gradually worsen
",,,,,,,,,,,,,,,,,,,
Porphyria,https://www.mayoclinic.org/diseases-conditions/porphyria/symptoms-causes/syc-20356066,Severe pain in the belly chest legs or back,Digestive problems such as constipation nausea and vomiting,Muscle pain tingling numbness weakness or paralysis,Red or brown urine,Mental changes such as anxiety hallucinations or mental confusion,Rapid or irregular heartbeats you can feel called palpitations,Breathing problems,High blood pressure,Seizures,Sensitivity to the sun and sometimes artificial light causing burning pain in the skin,Sudden painful skin redness and swelling,Blisters on exposed skin usually the hands arms and face,Fragile thin skin with changes in skin color,Itching,Too much hair growth in affected areas,Red or brown urine,,,,,
Postpartum depression,https://www.mayoclinic.org/diseases-conditions/postpartum-depression/symptoms-causes/syc-20376617,Mood swings,Anxiety,Sadness,Irritability,Feeling overwhelmed,Crying,Reduced concentration,Appetite problems,Trouble sleeping,Difficulty bonding with your baby,Fear that you're not a good mother,Thoughts of harming yourself or your baby,Severe anxiety and panic attacks,,,,,,,,
Post-traumatic stress disorder (PTSD),https://www.mayoclinic.org/diseases-conditions/post-traumatic-stress-disorder/symptoms-causes/syc-20355967,Recurrent unwanted distressing memories of the traumatic event,Reliving the traumatic event as if it were happening again (flashbacks),Upsetting dreams or nightmares about the traumatic event,Severe emotional distress or physical reactions to something that reminds you of the traumatic event,Memory problems including not remembering important aspects of the traumatic event,Difficulty maintaining close relationships,Feeling emotionally numb,Being easily startled or frightened,lways being on guard for danger,Self-destructive behavior such as drinking too much or driving too fast,Trouble sleeping,Trouble concentrating,Overwhelming guilt or shame,,,,,,,,
Prader-Willi syndrome,https://www.mayoclinic.org/diseases-conditions/prader-willi-syndrome/symptoms-causes/syc-20355997,Poor muscle tone,Distinct facial features,Poor sucking reflex,Generally poor responsiveness,Underdeveloped genitals,Food craving and weight gain,Underdeveloped sex organs ,Poor growth and physical development,Cognitive impairment,Delayed motor development,Speech problems ,Behavioral problems,Sleep disorders,Other signs and symptoms ,,,,,,,
Precocious puberty,https://www.mayoclinic.org/diseases-conditions/precocious-puberty/symptoms-causes/syc-20351811,Breast growth and first period in girls,Testicle and penis growth facial hair and deeper voice in boys,Pubic or underarm hair,Rapid growth,Acne,Adult body odor,,,,,,,,,,,,,,,
Pregnancy complications,https://www.mayoclinic.org/diseases-conditions/pregnancy-complications/symptoms-causes/syc-20376631,Unusual location of the placenta,Very low fetal growth Usually overall fetal growth or a fetal abdomen size that's less than the 10th percentile for gestational age is cause for concern This condition is called fetal growth restriction,Rh sensitization This happens when a pregnant person's blood group is Rh negative and the fetus's blood group is Rh positive,,,,,,,,,,,,,,,,,,
Premature birth,https://www.mayoclinic.org/diseases-conditions/premature-birth/symptoms-causes/syc-20376730,Small size with a head that's large compared with the body,Features that are sharper and less rounded than a full-term baby's features due to a lack of cells that store fat,Fine hair that covers much of the body,Low body temperature mainly right after birth in the delivery room,Trouble breathing,Feeding problems,,,,,,,,,,,,,,,
Primary sclerosing cholangitis,https://www.mayoclinic.org/diseases-conditions/primary-sclerosing-cholangitis/doctors-departments/ddc-20355805,Fatigue,Itching,Yellow eyes and skin (jaundice),Abdominal pain,Fever,Chills,Night sweats,Enlarged liver,Enlarged spleen,Weight loss,,,,,,,,,,,
Prostate cancer,https://www.mayoclinic.org/diseases-conditions/prostate-cancer/symptoms-causes/syc-20353087,Trouble urinating,Decreased force in the stream of urine,Blood in the urine,Blood in the semen,Bone pain,Losing weight without trying,Erectile dysfunction,,,,,,,,,,,,,,
Psoriasis,https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20355840,A patchy rash that varies widely in how it looks from person to person ranging from spots of dandruff-like scaling to major eruptions over much of the body,Rashes that vary in color tending to be shades of purple with gray scale on brown or Black skin and pink or red with silver scale on white skin,Small scaling spots (commonly seen in children),Dry cracked skin that may bleed,Itching burning or soreness,Cyclic rashes that flare for a few weeks or months and then subside,,,,,,,,,,,,,,,
Pulmonary Hypertension,https://www.mayoclinic.org/diseases-conditions/pulmonary-hypertension/symptoms-causes/syc-20350697,Shortness of breath at first while exercising and eventually while at rest,Blue or gray skin color due to low oxygen levels Depending on your skin color these changes may be harder or easier to see,Chest pressure or pain,Dizziness or fainting spells,Dizziness or fainting spells,Fatigue,Swelling in the ankles legs and belly area,,,,,,,,,,,,,,
Rabies,https://www.mayoclinic.org/diseases-conditions/rabies/symptoms-causes/syc-20351821,Fever,Headache,Nausea,Vomiting,Agitation,Anxiety,Confusion,Hyperactivity,Difficulty swallowing,Excessive salivation,Fear brought on by attempts to drink fluids because of difficulty swallowing water,Fear brought on by air blown on the face,Hallucinations,Insomnia,Partial paralysis,,,,,,
Radial tunnel syndrome,https://sportsmedicine.mayoclinic.org/condition/ulnar-nerve-cubital-tunnel/ ,Pain on the inside (medial) part of the elbow,Numbness and/or tingling that goes down the inside part of the forearm and even into the ring and little fingers (4th and 5th digits),"Weakness with certain wrist and hand motions
",Sensation of popping or snapping on the inside part of the elbow,Decreased muscle size (atrophy) of certain muscles in the hand,,,,,,,,,,,,,,,,
Radiation enteritis,"https://www.mayoclinic.org/diseases-conditions/radiation-enteritis/symptoms-causes/syc-20355409#:~:text=The%20symptoms%20of%20radiation%20enteritis,But%20sometimes%20they%20last%20longer.", diarrhea,nausea,vomiting and stomach cramps,,,,,,,,,,,,,,,,,,
Raynaud's disease,https://www.mayoclinic.org/diseases-conditions/raynauds-disease/symptoms-causes/syc-20363571,Cold fingers or toes,Areas of skin that turn white then blue Depending on your skin color these color changes may be harder or easier to see,Numb prickly feeling or stinging pain upon warming or stress relief,,,,,,,,,,,,,,,,,,
Reactive arthritis,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838,Pain and stiffness,Eye inflammation,Urinary problems,Inflammation of tendons and ligaments where they attach to bone (enthesitis),Swollen toes or fingers,Skin problems ,Low back pain,,,,,,,,,,,,,,
Rectal cancer,https://www.mayoclinic.org/diseases-conditions/rectal-cancer/symptoms-causes/syc-20352884,A change in bowel habits such as diarrhea constipation or a more-frequent need to pass stool,A feeling that the bowel doesn't empty completely,Abdominal pain,Dark maroon or bright red blood in stool,Narrow stool,Weight loss that happens without trying,Weakness or fatigue,,,,,,,,,,,,,,
Rectal prolapse,https://www.mayoclinic.org/diseases-conditions/rectal-prolapse/symptoms-causes/syc-20352899,You cannot control your bowel movements known as fecal incontinence,Constipation or loose stools,Leaking blood or mucus from the rectum,Feeling that your rectum isn't empty after a bowel movement,,,,,,,,,,,,,,,,,
Recurrent corneal erosion,https://www.mayoclinic.org/diseases-conditions/recurrent-corneal-erosion/symptoms-causes/syc-20352905,Pain,Redness,Light sensitivity (photophobia),Watery or very teary eyes (epiphora),Feeling like something is stuck in your eye even if you can’t see anything in it,,,,,,,,,,,,,,,,
Renal artery stenosis,https://www.mayoclinic.org/diseases-conditions/renal-artery-stenosis/symptoms-causes/syc-20352777,High blood pressure that begins suddenly or worsens without explanation,High blood pressure that begins before age 30 or after age 50,High blood pressure that's hard to control,A whooshing sound as blood flows through a narrowed vessel (bruit) which your doctor hears through a stethoscope placed over your kidneys,Elevated protein levels in the urine or other signs of a problem with kidney function,Worsening kidney function during treatment for high blood pressure,Fluid overload and swelling in your body's tissues,Treatment-resistant heart failure,,,,,,,,,,,,,
Renal cell carcinoma,https://www.mayoclinic.org/diseases-conditions/kidney-cancer/symptoms-causes/syc-20352664,Blood in your urine which may appear pink red or cola colored,Pain in your back or side that doesn't go away,Loss of appetite,Unexplained weight loss,Tiredness,Fever,,,,,,,,,,,,,,,
Renovascular hypertension,https://www.mayoclinic.org/diseases-conditions/renovascular-hypertension/symptoms-causes/syc-20352778,High blood pressure that begins suddenly or worsens without explanation,High blood pressure that begins before age 30 or after age 50,High blood pressure that's hard to control,A whooshing sound as blood flows through a narrowed vessel (bruit) which your doctor hears through a stethoscope placed over your kidneys,Elevated protein levels in the urine or other signs of a problem with kidney function,Worsening kidney function during treatment for high blood pressure,Fluid overload and swelling in your body's tissues,Treatment-resistant heart failure,,,,,,,,,,,,,
Respiratory syncytial virus (RSV),https://www.mayoclinic.org/diseases-conditions/respiratory-syncytial-virus/symptoms-causes/syc-20353098,Congested or runny nose,Dry cough,Low-grade fever,Sore throat,Sneezing,Headache,Fever,Severe cough,Wheezing — a high-pitched noise that's usually heard on breathing out (exhaling),Rapid breathing or difficulty breathing — the person may prefer to sit up rather than lie down,Bluish color of the skin due to lack of oxygen (cyanosis),Short shallow and rapid breathing,Struggling to breathe — chest muscles and skin pull inward with each breath,Cough,Poor feeding,Unusual tiredness (lethargy),Irritability,,,,
Restless legs syndrome,https://www.mayoclinic.org/diseases-conditions/restless-legs-syndrome/symptoms-causes/syc-20377168,Uncomfortable sensations that begin while resting,Relief with movement ,Worsening of symptoms in the evening,Nighttime leg twitching,,,,,,,,,,,,,,,,,
Retinal detachment,https://www.mayoclinic.org/diseases-conditions/retinal-detachment/symptoms-causes/syc-20351344,The sudden appearance of many floaters — tiny specks that seem to drift through your field of vision,Flashes of light in one or both eyes (photopsia),Blurred vision,Gradually reduced side (peripheral) vision,A curtain-like shadow over your field of vision,,,,,,,,,,,,,,,,
Retinal Diseases,https://www.mayoclinic.org/diseases-conditions/retinal-diseases/symptoms-causes/syc-20355825,Retinal tear,Retinal detachment ,Diabetic retinopathy,Epiretinal membrane ,Macular hole ,Macular degeneration,Retinitis pigmentosa ,,,,,,,,,,,,,,
Retinoblastoma,https://www.mayoclinic.org/diseases-conditions/retinoblastoma/symptoms-causes/syc-20351008,A white color in the center circle of the eye when light is shone in the eye It might show up in flash photos,Eye redness,Eye redness,Eyes that seem to be looking in different directions,Vision loss,,,,,,,,,,,,,,,,
Retrograde ejaculation,https://www.mayoclinic.org/diseases-conditions/retrograde-ejaculation/symptoms-causes/syc-20377193,The testicle may be moved by hand from the groin into the scrotum and won't immediately retreat to the groin,The testicle may be moved by hand from the groin into the scrotum and won't immediately retreat to the groin,The testicle might spontaneously disappear again for a time,,,,,,,,,,,,,,,,,,
Reye's syndrome,https://www.mayoclinic.org/diseases-conditions/reyes-syndrome/symptoms-causes/syc-20377255,Diarrhea,Rapid breathing,Vomiting that doesn't stop,Being sleepy or sluggish,Irritable aggressive or irrational behavior,Confusion or seeing or hearing things that aren't there,Weakness in the arms and legs or not being able to move them,Seizures,Excessive sluggishness,Decreased level of consciousness,,,,,,,,,,,
Rheumatic fever,https://www.mayoclinic.org/diseases-conditions/rheumatic-fever/symptoms-causes/syc-20354588,Fever,Joint pain or swelling — most often the knees ankles elbows and wrists Joints may feel hot or tender,Pain in one joint that travels to another joint,Chest pain,Fatigue,Small painless bumps beneath the skin,Flat or slightly raised painless rash with a ragged edge,Jerky uncontrollable body movements most often in the hands feet and face,Outbursts of crying or inappropriate laughing,,,,,,,,,,,,
Rheumatoid Arthritis,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,Tender warm swollen joints,Joint stiffness that is usually worse in the mornings and after inactivity,Fatigue fever and loss of appetite,,,,,,,,,,,,,,,,,,
Rickets,https://www.mayoclinic.org/diseases-conditions/rickets/symptoms-causes/syc-20351943,Delayed growth,Delayed motor skills,Pain in the spine pelvis and legs,Muscle weakness,Bowed legs or knock knees,Thickened wrists and ankles,Breastbone projection,,,,,,,,,,,,,,
Rocky Mountain spotted fever,https://www.mayoclinic.org/rash-caused-by-rocky-mountain-spotted-fever/img-20007498,a rash of small red spots or blotches that begin on the wrists palms or soles ,,,,,,,,,,,,,,,,,,,,
Rosacea,https://www.mayoclinic.org/diseases-conditions/rosacea/symptoms-causes/syc-20353815,Facial redness and flushing ,Visible veins ,Swollen bumps,Burning sensation ,Eye problems,Enlarged nose ,,,,,,,,,,,,,,,
Rotavirus,https://www.mayoclinic.org/diseases-conditions/rotavirus/symptoms-causes/syc-20351300,Has diarrhea for more than 24 hours,Vomits frequently,Has black or tarry stool or stool containing blood or pus,Has a temperature of 102 F (389 C) or higher,Seems tired irritable or in pain,Has signs or symptoms of dehydration including dry mouth crying without tears little or no urination unusual sleepiness or unresponsiveness,,,,,,,,,,,,,,,
Rubella (German measles),https://www.mayoclinic.org/diseases-conditions/rubella/symptoms-causes/syc-20377310,Mild fever of 102 F (389 C) or lower,Headache,Stuffy or runny nose,Red itchy eyes,Enlarged tender lymph nodes at the base of the skull the back of the neck and behind the ears,A fine pink rash that begins on the face and quickly spreads to the trunk and then the arms and legs before disappearing in the same order,Aching joints especially in young women,,,,,,,,,,,,,,
Salmonella Infection,https://www.mayoclinic.org/diseases-conditions/salmonella-infection/symptoms-causes/syc-20355329,Diarrhea,Stomach (abdominal) cramps,Fever,Nausea,Vomiting,Chills,Headache,Blood in the stool,,,,,,,,,,,,,
Sarcoidosis,https://www.mayoclinic.org/diseases-conditions/sarcoidosis/symptoms-causes/syc-20351336,Fatigue,Swollen lymph nodes,Weight loss,Pain and swelling in joints such as the ankles,Persistent dry cough,Shortness of breath,Wheezing,Chest pain,A rash of red or reddish-purple bumps usually located on the shins or ankles which may be warm and tender to the touch,Disfiguring sores (lesions) on the nose cheeks and ears,Areas of skin that are darker or lighter in color,Growths under the skin (nodules) particularly around scars or tattoos,Blurred vision,Eye pain,Burning itching or dry eyes,Severe redness,Sensitivity to light,,,,
Scabies,https://www.mayoclinic.org/diseases-conditions/scabies/symptoms-causes/syc-20377378,Itching often severe and usually worse at night,Thin wavy tunnels made up of tiny blisters or bumps on the skin,found over the body,,,,,,,,,,,,,,,,,,
Scarlet fever,https://www.mayoclinic.org/diseases-conditions/scarlet-fever/symptoms-causes/syc-20377406,Red rash,Red lines,Flushed face,Strawberry tongue ,Fever of 1004 F (380 C) or higher often with chills,Very sore and red throat sometimes with white or yellowish patches,Difficulty swallowing,Enlarged glands in the neck (lymph nodes) that are tender to the touch,Nausea or vomiting,Belly (abdominal) pain,Headache and body aches,,,,,,,,,,
Schizoaffective disorder,https://www.mayoclinic.org/diseases-conditions/schizoaffective-disorder/symptoms-causes/syc-20354504,Delusions — having false fixed beliefs despite facts showing that they're not true,Hallucinations such as hearing voices or seeing things that others don't observe,Disorganized thinking and speech,Bizarre or unusual behavior,Symptoms of depression such as feeling empty sad or worthless,Periods of manic mood with more energy and less need for sleep over several days and behaviors that are out of character,Having a hard time functioning at work or school or in social situations,Problems managing personal care such as not looking clean and not taking care in how one looks,,,,,,,,,,,,,
Schizoid personality disorder,https://www.mayoclinic.org/diseases-conditions/schizoid-personality-disorder/symptoms-causes/syc-20354414,Want to be alone and do activities alone,Do not want or enjoy close relationships,Feel little if any desire for sexual relationships,Take pleasure in few activities if any,Find it hard to express your emotions and react,May lack humor or not be interested in others Or you may be cold toward others,"May lack the drive that makes you want to reach goals
",Do not react to praise or criticism from others,,,,,,,,,,,,,
Schizophrenia,https://www.mayoclinic.org/diseases-conditions/schizophrenia/symptoms-causes/syc-20354443,Delusions,Hallucinations ,Disorganized speech and thinking ,Extremely disorganized or unusual motor behavior ,Negative symptoms,,,,,,,,,,,,,,,,
Scleroderma,https://www.mayoclinic.org/diseases-conditions/scleroderma/symptoms-causes/syc-20351952,hardening and tightening of the skin," The color of affected skin can become lighter or darker and skin may look shiny because of the tightness
",Heartburn,Difficulty swallowing,Bloating,Diarrhea,Constipation,Fecal incontinence,,,,,,,,,,,,,
Scoliosis,https://www.mayoclinic.org/diseases-conditions/scoliosis/symptoms-causes/syc-20350716,Uneven shoulders,One shoulder blade that appears more prominent than the other,Uneven waist,One hip higher than the other,One side of the rib cage jutting forward,A prominence on one side of the back when bending forward,,,,,,,,,,,,,,,
Seasonal affective disorder (SAD),https://www.mayoclinic.org/diseases-conditions/seasonal-affective-disorder/symptoms-causes/syc-20364651,Feeling listless sad or down most of the day nearly every day,Losing interest in activities you once enjoyed,Having low energy and feeling sluggish,Having problems with sleeping too much,Experiencing carbohydrate cravings overeating and weight gain,Having difficulty concentrating,Feeling hopeless worthless or guilty,Having thoughts of not wanting to live,Oversleeping/insomnia,Appetite changes especially a craving for foods high in carbohydrates,Weight gain/loss,Tiredness or low energy,Tiredness or low energy,,,,,,,,
Seborrheic dermatitis,https://www.mayoclinic.org/diseases-conditions/seborrheic-dermatitis/symptoms-causes/syc-20352710,Flaking skin (dandruff) on your scalp hair eyebrows beard or mustache,Patches of greasy skin covered with flaky white or yellow scales or crust on the scalp face sides of the nose eyebrows ears eyelids chest armpits groin area or under the breasts,Rash that may look darker or lighter in people with brown or Black skin and redder in those with white skin,Ring-shaped (annular) rash for a type called petaloid seborrheic dermatitis,Itchiness (pruritus),,,,,,,,,,,,,,,,
Sepsis,https://www.mayoclinic.org/diseases-conditions/sepsis/symptoms-causes/syc-20351214,Change in mental status,Fast shallow breathing,Sweating for no clear reason,Feeling lightheaded,Shivering,Symptoms specific to the type of infection such as painful urination from a urinary tract infection or worsening cough from pneumonia,,,,,,,,,,,,,,,
Septic Shock,https://www.mayoclinic.org/diseases-conditions/sepsis/symptoms-causes/syc-20351214,Not being able to stand up,Strong sleepiness or hard time staying awake,Major change in mental status such as extreme confusion,Low blood pressure,Fever although some people may have a body temperature lower than 986 F (37 C),Rapid heart rate,Lightheadedness,Shortness of breath,Confusion,,,,,,,,,,,,
Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,Anemia ,Episodes of pain ,Swelling of hands and feet ,Frequent infections,Delayed growth or puberty,Vision problems ,,,,,,,,,,,,,,,
Sinusitis,https://www.mayoclinic.org/diseases-conditions/chronic-sinusitis/symptoms-causes/syc-20351661,Thick discolored mucus from the nose known as a runny nose,Mucus down the back of the throat known as postnasal drip,Blocked or stuffy nose known as congestion This makes it hard to breathe through the nose,Pain tenderness and swelling around the eyes cheeks nose or forehead,Reduced sense of smell and taste,Ear pain,Headache,Aching in the teeth,Cough,Sore throat,Bad breath,Tiredness,,,,,,,,,
Skin cancer,https://www.mayoclinic.org/diseases-conditions/skin-cancer/symptoms-causes/syc-20377605, pearly or waxy bump,A flat flesh-colored or brown scar-like lesion,A bleeding or scabbing sore that heals and returns,A firm red nodule,A flat lesion with a scaly crusted surface,A large brownish spot with darker speckles,A mole that changes in color size or feel or that bleeds,A small lesion with an irregular border and portions that appear red pink white blue or blue-black,A painful lesion that itches or burns,Dark lesions on your palms soles fingertips or toes or on mucous membranes lining your mouth nose vagina or anus,,,,,,,,,,,
Sleep Disorders,https://www.mayoclinic.org/diseases-conditions/sleep-disorders/symptoms-causes/syc-20354018,Insomnia in which you have difficulty falling asleep or staying asleep throughout the night,Sleep apnea in which you experience abnormal patterns in breathing while you are asleep There are several types of sleep apnea,Restless legs syndrome (RLS) a type of sleep movement disorder Restless legs syndrome also called Willis-Ekbom disease causes an uncomfortable sensation and an urge to move the legs while you try to fall asleep,Narcolepsy a condition characterized by extreme sleepiness during the day and falling asleep suddenly during the day,,,,,,,,,,,,,,,,,
Small intestine cancer,https://www.mayoclinic.org/diseases-conditions/small-bowel-cancer/symptoms-causes/syc-20352497,Abdominal pain,Yellowing of the skin and the whites of the eyes called jaundice,Feeling very weak or tired,Nausea,Vomiting,Losing weight without trying,"Blood in the stool which might look red or black
",Watery diarrhea,Skin flushing,,,,,,,,,,,,
Spinal cord injury,https://www.mayoclinic.org/diseases-conditions/spinal-cord-injury/symptoms-causes/syc-20377890,Loss of movement,Loss of or a change in sensation This includes a change in the ability to feel heat cold and touch,loss of bowel or bladder control,Exaggerated reflex activities or spasms,Changes in sexual function sexual sensitivity and fertility,Pain or an intense stinging sensation caused by damage to the nerve fibers in the spinal cord,Trouble breathing coughing or clearing secretions from the lungs,Trouble breathing coughing or clearing secretions from the lungs,Weakness incoordination or loss of control in any part of the body,Numbness tingling or loss of feeling in the hands fingers feet or toes,Loss of bladder or bowel control,Trouble breathing after injury,,,,,,,,,
Stomach cancer,https://www.mayoclinic.org/diseases-conditions/stomach-cancer/symptoms-causes/syc-20352438,Trouble swallowing,Belly pain,Feeling bloated after eating,eeling full after eating small amounts of food,Not feeling hungry when you would expect to be hungry,Heartburn,Indigestion,Nausea,vomiting,Losing weight without trying,Feeling very tired,Stools that look black,,,,,,,,,
Strep throat,https://www.mayoclinic.org/diseases-conditions/strep-throat/symptoms-causes/syc-20350338,Throat pain that usually comes on quickly,Painful swallowing,Red and swollen tonsils sometimes with white patches or streaks of pus,Tiny red spots on the area at the back of the roof of the mouth (soft or hard palate),Swollen tender lymph nodes in your neck,Fever,Headache,Rash,Nausea or vomiting especially in younger children,Body aches,,,,,,,,,,,
Stress fractures,https://www.mayoclinic.org/diseases-conditions/stress-fractures/symptoms-causes/syc-20354057,e The tenderness usually starts at a specific spot and decreases during rest,You might have swelling around the painful area,,,,,,,,,,,,,,,,,,,
Stroke,https://www.mayoclinic.org/diseases-conditions/stroke/symptoms-causes/syc-20350113,Trouble speaking and understanding what others are saying,Numbness weakness or paralysis in the face arm or leg,Numbness weakness or paralysis in the face arm or leg,Problems seeing in one or both eyes ,Headache,Trouble walking,,,,,,,,,,,,,,,
Subarachnoid hemorrhage,https://www.mayoclinic.org/diseases-conditions/subarachnoid-hemorrhage/symptoms-causes/syc-20361015,Nausea,Vomiting,Stiff neck,Problems with vision,Brief loss of consciousness,,,,,,,,,,,,,,,,
Substance use disorder,https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,Feeling that you have to use the drug regularly — daily or even several times a day,Having intense urges for the drug that block out any other thoughts,Having intense urges for the drug that block out any other thoughts,Taking larger amounts of the drug over a longer period of time than you intended,Making certain that you maintain a supply of the drug,Making certain that you maintain a supply of the drug,Not meeting obligations and work responsibilities or cutting back on social or recreational activities because of drug use,Continuing to use the drug even though you know it's causing problems in your life or causing you physical or psychological harm,Continuing to use the drug even though you know it's causing problems in your life or causing you physical or psychological harm,Continuing to use the drug even though you know it's causing problems in your life or causing you physical or psychological harm,Spending a good deal of time getting the drug using the drug or recovering from the effects of the drug,Failing in your attempts to stop using the drug,Failing in your attempts to stop using the drug,,,,,,,,
Sudden cardiac arrest,https://www.mayoclinic.org/diseases-conditions/sudden-cardiac-arrest/symptoms-causes/syc-20350634,Sudden collapse,No pulse,No breathing,Loss of consciousness,Chest discomfort,Shortness of breath,Weakness,Fast-beating fluttering or pounding heart called palpitations,,,,,,,,,,,,,
Suicide and suicidal thoughts,https://www.mayoclinic.org/diseases-conditions/suicide/symptoms-causes/syc-20378048,Talking about suicide,Getting the means to take your own life such as buying a gun or stockpiling pills,Getting the means to take your own life such as buying a gun or stockpiling pills,Withdrawing from social contact and wanting to be left alone,Having mood swings such as being emotionally high one day and deeply discouraged the next,Being preoccupied with death dying or violence,Feeling trapped or hopeless about a situation,Increasing use of alcohol or drugs,Changing normal routine including eating or sleeping patterns,Doing risky or self-destructive things such as using drugs or driving recklessly,Giving away belongings or getting affairs in order when there's no other logical explanation for doing this,Saying goodbye to people as if they won't be seen again,Developing personality changes or being severely anxious or agitated particularly when experiencing some of the warning signs listed above,,,,,,,,
Swine flu (H1N1 flu),https://www.mayoclinic.org/diseases-conditions/swine-flu/symptoms-causes/syc-20378103,Fever but not always,Aching muscles,Chills and sweats,Cough,Sore throat,Runny or stuffy nose,Watery red eyes,Eye pain,"Body aches
",Headache,Tiredness and weakness,Diarrhea,Feeling sick to the stomach vomiting but this is more common in children than adults,,,,,,,,
Syphilis,https://www.mayoclinic.org/diseases-conditions/syphilis/symptoms-causes/syc-20351756,"A rash caused by syphilis:

Often is not itchy",May look rough red or reddish-brown,May look rough red or reddish-brown,Wartlike sores in the mouth or genital area,Hair loss,Muscle aches,Fever,Sore throat,Tiredness also called fatigue,Weight loss,Swollen lymph nodes,,,,,,,,,,
Systemic lupus erythematosus (SLE),https://www.mayoclinic.org/diseases-conditions/lupus/symptoms-causes/syc-20365789,Fatigue,Fever,Joint pain stiffness and swelling,Butterfly-shaped rash on the face that covers the cheeks and bridge of the nose or rashes elsewhere on the body,Skin lesions that appear or worsen with sun exposure,Fingers and toes that turn white or blue when exposed to cold or during stressful periods,Shortness of breath,Shortness of breath,Dry eyes,Headaches confusion and memory loss,,,,,,,,,,,
